jday,month,date,rh_10am,rh_4pm,tmax,tmin,tavg,earthtemp_10am,earthtemp_4pm,sunshine_hr,windspd_kmday,winddir_10am,winddir_4pm,rainfall_mm,pan_evap_mmday
44.0,8.0,13.0,84.0,77.0,30.0,21.0,,24.8,24.9,5.3,172.23,SW,NW,78.0,11.9
45.0,8.0,14.0,99.0,99.0,25.0,19.0,,24.3,24.5,0.5,148.64,NW,S,1.4,1.1
46.0,8.0,15.0,85.0,84.0,27.0,19.0,,24.1,24.4,0.8,112.31,SW,S,,2.0
47.0,8.0,16.0,74.0,74.0,27.0,17.0,,24.3,25.1,9.0,144.08,SW,NW,4.3,1.1
48.0,8.0,17.0,79.0,64.0,30.0,18.0,,24.5,25.5,5.5,177.61,NW,NW,25.3,6.9
49.0,8.0,18.0,93.0,73.0,27.0,18.0,,24.5,24.8,1.9,123.67,NW,SW,,1.8
50.0,8.0,19.0,76.0,74.0,30.0,20.0,,24.5,25.3,5.2,165.98,SW,SW,5.1,0.9
51.0,8.0,20.0,78.0,78.0,29.0,20.0,,24.8,25.2,1.2,118.88,SW,NW,24.7,9.0
52.0,8.0,21.0,95.0,71.0,30.0,17.0,,24.0,24.6,6.7,71.38,NW,NW,,4.0
53.0,8.0,22.0,79.0,67.0,30.0,20.0,,24.7,25.3,4.0,107.53,SW,SE,24.7,2.0
54.0,8.0,23.0,78.0,65.0,28.0,21.0,,24.8,25.3,6.3,113.39,SE,SE,17.0,1.0
55.0,8.0,24.0,77.0,69.0,30.0,18.0,,24.9,25.0,4.2,128.48,SW,SE,75.8,0.0
56.0,8.0,25.0,75.0,97.0,30.0,18.0,,24.6,25.5,8.8,126.73,NW,NW,36.4,5.0
57.0,8.0,26.0,76.0,65.0,32.0,21.0,,25.2,26.0,7.4,61.81,NW,NW,,4.0
58.0,8.0,27.0,78.0,60.0,33.0,20.0,,25.8,26.5,8.0,115.18,NW,SW,,3.1
59.0,8.0,28.0,82.0,67.0,30.0,19.0,,26.0,26.2,2.7,93.03,SW,SW,,8.0
60.0,8.0,29.0,78.0,89.0,30.0,18.0,,25.3,26.3,7.3,99.99,SW,SW,,4.0
61.0,8.0,30.0,85.0,76.0,28.0,21.0,,25.8,25.9,2.8,84.73,SW,SE,,1.9
62.0,8.0,31.0,89.0,63.0,31.0,21.0,,25.3,25.8,4.4,127.64,SW,NW,,0.0
